asset_id,asset_type,builtin_mat,extended_mat
0012053f094f4309808f52b3efb88977,objaverse,very dry ground,plastic
00122deff5aa4796bb5b0f021c186844,objaverse,metal,plastic
001240db1fd642cd95e876242b0a742e,objaverse,metal,plastic
00124bcf3ca3463fbe05f28218cc0f5c,objaverse,wood,wood
00129e7a146741d5ab65463cb5f931fe,objaverse,wood,wood
001327ad4a324dca92e1f18ad72fd705,objaverse,wood,plastic
0013289f6eff4efdb17922804bf052c0,objaverse,brick,brick
0013365d67f84b8bb22d62e128f69fa2,objaverse,metal,metal
001337c586f34fe7b3c7948d577229a3,objaverse,chipboard,paper
00134c1f38ec4cf69dc99b007e8db40b,objaverse,wood,fabric
0013cf5979c846449c817a2439fd8705,objaverse,wood,wood
00145d8428274f73b63168bef9803486,objaverse,wood,plastic
0015eb3cf53b4339b2d0532cf912ab26,objaverse,wood,wood
001609b36a584dc08e903023dd9c4757,objaverse,wood,plastic
00161a2d7d9e4365ab87ce139e84375d,objaverse,metal,plastic
00165abfda6e48d18570cf984d4609f1,objaverse,wood,plastic
00165dfd402c4f76b39cd6201dd18ee2,objaverse,glass,plastic
0016ab459cc74b46950e36bb7e9db7e5,objaverse,very dry ground,ceramic
001790dc77f14dc4be1885e7dc0db843,objaverse,glass,ceramic
001864375e66476cb9fa9e6aacfc859e,objaverse,wood,plastic
0018ec175a5c4c55aa74040a1ae0f240,objaverse,metal,fabric
001a5201eddf4f3b98591598584673f5,objaverse,wood,wood
001abb1a3f4c412fbd707239acb68cd6,objaverse,wood,fabric
001af60e5741419cb7a5767e17c270b9,objaverse,wood,wood
001b580017ad4f71ab0c6e4f0351aa06,objaverse,wood,leather
001b681ca4b349cfa3afe7671f39a42b,objaverse,wood,wood
001c9967a7b94750b58faa63707fe441,objaverse,metal,plastic
001cfadfb9204424bccc45501ce6b90e,objaverse,wood,wood
001d8f96a18a49f2922d371afcca315e,objaverse,metal,metal
001da09a69fa404786fc902ff4c99f6f,objaverse,metal,metal
001dd2c17b1443aab500f61634bc3b89,objaverse,wood,wood
001df836dd9e46edb196a975e59bb63a,objaverse,chipboard,paper
001e4438fc2742ad81356aae14c94d4a,objaverse,metal,metal
001eac0e67494e9485b44e6d180d5e30,objaverse,metal,ceramic
001f369aea9044499943d5966b7090e3,objaverse,metal,plastic
001f5b9d3b7d4210b0dee5139c664a89,objaverse,wood,plastic
001fb6f270c044fc8546699453281d73,objaverse,wood,wood
001fe76523954a87b4c94ded007c0c4b,objaverse,brick,ceramic
001fe8adb25a49d0b2650a5401dde019,objaverse,wood,plastic
002122c2db5a48b383598fec645cb459,objaverse,wet ground,fabric
0021481a2c914045b2544ba9b6e9cd44,objaverse,metal,metal
00221fb4c74b44a98dab75228d047950,objaverse,glass,plastic
002254d576c448a2b0a8a686e7297b3e,objaverse,very dry ground,paper
0022a3197f9646acbb9041eff2d1f55c,objaverse,wood,wood
00230d602d4b484f92286ed87bf76218,objaverse,metal,metal
00231f668ece46ca991abbf94a5891a5,objaverse,glass,ceramic
0023687e90394c3e97ab19b0160cafb3,objaverse,glass,glass
0023717f4f564cc99f4ded70db04f590,objaverse,metal,metal
00239e612cd443bf8cae46b807560992,objaverse,wood,plastic
0023cf96310245efbd277f72b8bb55b5,objaverse,metal,metal
0024e7af8d944929a582eef26ceafe23,objaverse,metal,metal
00257168eb4d48ada5404449f5733b8a,objaverse,wood,wood
0025c5e2333949feb1db259d4ff08dbe,objaverse,wood,wood
0025d57953fc4c8a80a44e59294e6841,objaverse,glass,plastic
0025f9484fc64af29f59cf11a8beced7,objaverse,wood,wood
002635095eb14f929d74333806ab47d2,objaverse,metal,metal
002645c746ab40bca09e5524b3599b4b,objaverse,metal,metal
002749d6607e4db8888b650a23c445ca,objaverse,metal,metal
002963066a10490a80350a3931df529b,objaverse,marble,plastic
0029c86a9b1943468320af7943fc9703,objaverse,wood,wood
002a0a1c6d9e428f890d8410e997af6e,objaverse,very dry ground,fabric
002aa1853c974f3a9565e85f5e09a515,objaverse,marble,rubber
002c974f7dec492a940abddab3104bab,objaverse,very dry ground,very dry ground
002cfc5ac8ec424a82f74d5ff8e1511d,objaverse,metal,metal
002cfe5ed73943cabeaef319d8a6c434,objaverse,very dry ground,ceramic
002d04579ea64917b103283c82f460c6,objaverse,wood,wood
002d11e6d0ac46a08d55b668b970862d,objaverse,wood,wood
002ddc7bd1e243d4bde2e8d736118de9,objaverse,wood,wood
002e462c8bfa4267a9c9f038c7966f3b,objaverse,metal,metal
0030c1b11bee4a0baa3f5a689a4df9b5,objaverse,metal,metal
0030d17bd3374216b895959e5c347fe5,objaverse,wood,fabric
0031600384ab42c89dc98efb896d46ed,objaverse,plasterboard,plasterboard
00316f886eb24ecda5799b182262fc2f,objaverse,wood,plastic
003199cc6ff2410cb2d8e6f8a9cbb163,objaverse,metal,metal
0031ed6284ac4310952095302aad77c2,objaverse,wood,fabric
00320c0f49b7487282dd77e6856cba61,objaverse,metal,plastic
003219b0bec442d29725847969e4b6bf,objaverse,glass,glass
003245510e8f4bcb98f1794348606f68,objaverse,wood,plastic
0032ecaeb33d42a9becc52ae13cc64e2,objaverse,glass,glass
003318fdca8b4dca97e9d09ef8f20952,objaverse,wood,wood
0033908c6c3a4e8c8e5e12a75becb707,objaverse,wood,rubber
003402fb2c0e4880aca1af69add1968e,objaverse,metal,plastic
003442052c724e6fb5f38b32a192933c,objaverse,wood,plastic
00344ef2f28044aabebbee929b5cf92e,objaverse,metal,metal
0034aaae6f28412c8a30d0ed41ada1bd,objaverse,metal,plastic
0034cede682942c5880f8d6effbbeac2,objaverse,wood,plastic
0034daf09308445fbae3f069d597e404,objaverse,wood,wood
00354dc9093941fdbb0b663ded1d78fb,objaverse,very dry ground,very dry ground
00359e53fa484ed79e851a004632512e,objaverse,very dry ground,plastic
0035d1b8aa3641f9b441710fdfd80112,objaverse,metal,metal
003632c644d54bd19d82bf1b3076d278,objaverse,marble,marble
00363685cab84756a0e7e4c282f374d7,objaverse,metal,plastic
0036481f67544ee79b067305af33ea4b,objaverse,wood,fabric
003715596f13472c877ee3a622782d5a,objaverse,metal,plastic
0037dd300da040759645acd2a77f2fbb,objaverse,marble,marble
00380c3f5cf548c9846faf3c42dfd6db,objaverse,wood,plastic
00381cc98e334acea8621bd5a76489d2,objaverse,glass,plastic
00385c92103c4d06bcef615b2bf31ef5,objaverse,very dry ground,very dry ground
0038e1dde2cf49ba8a4f0774fb735794,objaverse,wood,wood
0039e70f459d45989290a57e887b6caa,objaverse,wood,fabric
003a75f6c3f643ee86dd00ca7f1f9b81,objaverse,wood,fabric
003a765b5c2e4c898cb9ac18fd05f6c0,objaverse,marble,marble
003b2603e335447f827384a34b16b055,objaverse,chipboard,plastic
003c629de4d84dca9d3ac17c93aab24a,objaverse,plasterboard,ceramic
003c6b80bd174beeb62075200876fce5,objaverse,metal,metal
003d24749f2e4047b95f9d04a7c7957b,objaverse,wood,plastic
003d816301084f719897503bdb4ffbc3,objaverse,wood,plastic
003ddbf78f3a4a4881a20a56d60777ce,objaverse,plasterboard,ceramic
003e0f9fd98041219de75d8b909a0f09,objaverse,plasterboard,ceramic
003e5e87df9c4d66bbcdb178a4155b04,objaverse,metal,metal
003e74743d454448abf11fd78164a75d,objaverse,metal,metal
003ebdf86df345d39dc166563229fb85,objaverse,metal,metal
003ecc6b7b194fa5b17a117ebc1c7a36,objaverse,metal,metal
003eee5f679f4c17bebd4fda631e1ea3,objaverse,wood,plastic
003f89af59ce460baafe52013e861b66,objaverse,wood,plastic
003fc7d2e4de41b6bb76d294d00a6357,objaverse,metal,metal
00402d4237424c0cb3816cd039bc78fb,objaverse,glass,ceramic
00402ec6e4d34b34bb6c1b9466329648,objaverse,metal,plastic
0040710c2bcb4e1fa494859b18ed4cc4,objaverse,very dry ground,ceramic
0040816dc1a846ccbba6bca2cd38e287,objaverse,glass,ceramic
00408d8f5f3c4c3a926f0fc858dce29b,objaverse,wood,plastic
0040b0c427fd4a6b8666d10f56a61e0d,objaverse,wood,wood
0040d0bdba094cada1f9ed30d6334588,objaverse,wet ground,food
0040f94c8efd43639d8010874e4fefb6,objaverse,marble,marble
004149fc070441ecbe9aca6d371d7648,objaverse,brick,ceramic
0041822ebe464c5a9f458d2434c8984e,objaverse,wood,wood
00429580c6634d70a4164203d28f2735,objaverse,wood,rubber
0042c4c26c1f49fd9e089db02d6d59d1,objaverse,metal,metal
0042c85cf14e424f94e4ed93216c0632,objaverse,wood,fabric
0043676c6fcd45138b8c51c7e475cf77,objaverse,wood,wood
0043844135604a8d9b42d07d648480d2,objaverse,wood,plastic
0043f889cb074981a30c283f54c88d50,objaverse,wood,wood
00441c95af714b6db3e9b733409f2918,objaverse,wood,wood
00449fc537204e6a923cad3827c5e1a0,objaverse,marble,ceramic
0044d40f1bf8459783d93d1bd7c9b54e,objaverse,very dry ground,plastic
0044df1c57434412b5582d610c60c7de,objaverse,metal,metal
00452de0ad4342daa0e139ad70ed2232,objaverse,metal,metal
00459590683c4a84a346978d35345545,objaverse,wood,plastic
004597b0ae2a42eb8d448ff57278aab2,objaverse,wood,plastic
0045e6b04b4041279bfa7ac99949e3ea,objaverse,wood,plastic
0046ed7f84a14d0a827f3491d4858431,objaverse,wood,plastic
0046f208ef8d4988ba7bb9d297f29ec7,objaverse,metal,metal
0047a66766394a018fdab16279fee694,objaverse,very dry ground,food
0047b3f31cc844d2bfe8e59820b87312,objaverse,metal,metal
0047be934a22442fa9ed9cc0a119acd2,objaverse,marble,marble
0047ef5783c845efa9a6623d0361df23,objaverse,metal,metal
0047fa5e44334d3e9bd171ad2bf95ff5,objaverse,metal,metal
0048e8224b174b759771e39ff521ee2e,objaverse,glass,ceramic
00490624bd754f76bf5a8ea603496c84,objaverse,metal,plastic
00494364f494436187961330b582428e,objaverse,metal,plastic
0049859dda8d4112bd98897e91bb3697,objaverse,wood,paper
0049bea70d8d4ab8a5e3d44a82d71c6b,objaverse,wood,ceramic
004b1354afd2442f80215dbe79474129,objaverse,wood,wood
004b8e4b92e7478688fa9040150ddbb7,objaverse,wood,fabric
004b95391e4e48a797ee8d0cf612b5cf,objaverse,wood,wood
004c68337c6c462aae23238fa2ae5aa4,objaverse,wood,fabric
004ca6171a934a44806d51cb23921058,objaverse,metal,plastic
004cb536708c41938dd796bdcc2d8b0c,objaverse,wood,wood
004cdface7cf47e2a74fd9331472a646,objaverse,marble,marble
004d1e9e13934e319094151a4fad823f,objaverse,wood,plastic
004d5daa93144bb2bc641f89d701fe60,objaverse,wood,plastic
004ed3e93e29468290752736a7611335,objaverse,wood,wood
004f0299772641c6a1d9bf5f667a71cf,objaverse,wood,plastic
004f5d83cd094ec4a3ce22318b78ee18,objaverse,wood,wood
004fa1cc47264fcab288167d376f0cd9,objaverse,wood,wood
004fb4d72f6c4e55a15b9025a868d1a3,objaverse,glass,ceramic
0050472e2b0d49dc9c1f4e5412d9479d,objaverse,wood,plastic
0050a64432af4030bf0b681a9f956218,objaverse,wood,paper
0050f76a07fa43b7a38e6cef40beb69d,objaverse,wood,wood
0050f80cf1514432b9ea33a4ea993341,objaverse,wood,plastic
00511731c2d342739a15fe93f08fa0ef,objaverse,wood,plastic
005121da5ed340b4aedd168e33d56714,objaverse,wood,wood
00521afad97149088a79d6e12fdabe41,objaverse,wood,plastic
00524c1f821a488ba925cf3c42f1af2b,objaverse,wood,wood
005296542a064663accc0ff1077de6a3,objaverse,wood,plastic
0052d8dd7ad24473a1c887c05cf63f32,objaverse,metal,metal
005383032a5c4c52a7950f41404488fe,objaverse,wood,wood
0053b6f4f80c47daafcab1da66c620f9,objaverse,wood,plastic
0053cdf8742e4d8f98874a4124aea9d8,objaverse,metal,leather
0053d2ac9bc14142bffaa42593c00a8a,objaverse,metal,metal
005441c163204e7e9765fe7f07730129,objaverse,wood,plastic
005498f2e5464f9e9122a61fe73717b1,objaverse,wood,fabric
0054a892090e4ff5857c1687fbc77e36,objaverse,wood,wood
0055b438b52e4bab97ebc40c41b63654,objaverse,wood,plastic
0056a7efbbb04bf3994b6029b0072e8d,objaverse,metal,metal
0056fa33ff5941c295e30dbc70be20f5,objaverse,wood,fabric
0057008f9c61489b8788d2de689b7aa0,objaverse,very dry ground,very dry ground
00590662258c4bc3b0e0447e06be1690,objaverse,glass,plastic
005946af04764d9f8782046bf2532294,objaverse,glass,ceramic
0059763cb94544c9ba4eed0cecd4f1b3,objaverse,wood,fabric
005985da0ca14b879cebc7620df8c8d8,objaverse,wood,paper
005a05c2bbea4509b5449ad1264aa328,objaverse,wood,ceramic
005a246f8c304e77b27cf11cd53ff4ed,objaverse,very dry ground,food
005a5cdf4e904dbbb07830f83cbfa6a6,objaverse,wood,ceramic
005a8f2d0e734c338445d93ed4b8f53f,objaverse,wood,plastic
005ac29538de4f3db369680f6a8e47f0,objaverse,wood,very dry ground
005ae209d3144e8c8400aee164a5f24d,objaverse,metal,fabric
005b0ce54a8045dcbb05b9166c212ee3,objaverse,metal,metal
005efd18c1824b93a039b51d88b40c86,objaverse,metal,metal
005f0ff179e440928441f38fb2e32b9c,objaverse,metal,metal
005f1cd8479c4504976c36f89d93c3be,objaverse,wood,food
005f5630a54b442291aeb0a5d487353b,objaverse,glass,ceramic
0060006cded2485f89922f792a99f1a3,objaverse,wood,plastic
00600cf173c14c9b94f1499014e5771b,objaverse,very dry ground,ceramic
00603cadc4474dafb78cdb55278568f2,objaverse,metal,metal
006111ab9de44dfe8646439db834a819,objaverse,metal,ceramic
00613a37109548a992c8b81238f941ae,objaverse,metal,plastic
00615da2444f437da7efa342c05be7ff,objaverse,metal,metal
00619c9de6f14f03940b6cf72575d822,objaverse,metal,metal
0062ed8ced2543119511e29683be9bc4,objaverse,concrete,concrete
006306c2f46b486881527193b709910d,objaverse,very dry ground,very dry ground
006387f76f684e1dab80d0a4bb705809,objaverse,wood,wood
006407e29f2144869f25b7e60af7667a,objaverse,metal,metal
00646edb63064ae18fe39134255909d1,objaverse,metal,metal
00652746e220431986b0630991df04a0,objaverse,metal,plastic
00653ef1dc144dfc8f9da53c9c6639a5,objaverse,metal,metal
006674c184434287b0b661d552a910f6,objaverse,metal,plastic
0066db2e3ee6498fb2f88c7ef296fc66,objaverse,metal,fabric
0066df6fb8db4881819058f974f3c930,objaverse,wood,plastic
0067305593d74c668e93382de8e38f4d,objaverse,wood,wood
006766c207054df3aa825fd78d28a2b5,objaverse,wood,wood
00676dfff79c4299bc05ebbb3b328d39,objaverse,wood,plastic
00682d59ea1f41fa86fcae20035a262a,objaverse,metal,metal
00683af1ddae4ed984e83b561ee3ff75,objaverse,wood,plastic
00688f95c1ed48be86dfa5b822d791b9,objaverse,wood,fabric
006a5f53422a4cc49ed202222a258302,objaverse,metal,plastic
006a79b6e0fc4befbb4c2a9bc6cb49c6,objaverse,wood,plastic
006acf2a5fe14eeca1e01f1f1feeae4c,objaverse,wood,wood
006c1bf4bd39479b9134ef32a0618897,objaverse,wood,wood
006c3a2bc9cd44e1aaef183bb2eb3086,objaverse,wood,wood
006d1922549f4f83a87158c46c8f8ea8,objaverse,metal,metal
006f522c6a104e6db15ffd419c743925,objaverse,wood,wood
0070ac4bf50b496387365843d4bf5432,objaverse,wood,fabric
0070e2350cb04108b3c9cf17033bf0aa,objaverse,concrete,ceramic
00711aa469b74dc88b983b162a25dc3b,objaverse,chipboard,paper
007120b5c6824a368ca12954aff4090c,objaverse,metal,metal
0071593d2a654cf89bcf52402c266c4c,objaverse,chipboard,paper
007195ef57fe47d59700312f6fdf6df4,objaverse,metal,paper
00724925a3e7451193a890907106cf73,objaverse,wood,plastic
00725d07417645c2a488a911baa51045,objaverse,brick,ceramic
0074481fb14e45b2996442c97769578e,objaverse,marble,marble
00761e2960e24a9c86c04fba0be9c03b,objaverse,wood,wood
0076290bafb3436f8cc3e0ec51f1e886,objaverse,metal,plastic
007651a9450746a5b6c5a126d484cd52,objaverse,wood,plastic
0076fb92e8fc43d08dcede4078715733,objaverse,wood,fabric
0077b6c8d2984a8cb79fa213d1a438b0,objaverse,marble,glass
0077d53619ff4fce86fd5090131144e0,objaverse,marble,ceramic
0078a75fe9aa47a99f48c7f5491fd413,objaverse,metal,plastic
0079263d92a34e76aa68c90cf1c58a7e,objaverse,glass,glass
0079418517784f2bbf0aec6fd8de3cde,objaverse,metal,metal
0079f9a78c0c4fa98016dbc19762fe84,objaverse,metal,plastic
007b3198be5741218750bd836559047a,objaverse,wood,wood
007bd540a36a4111a60c6adf4a4a1601,objaverse,wood,plastic
007c64e9b39a4d35b9c2619c23e1cdd9,objaverse,metal,metal
007c7a1aaa1046eab077d434be847e2a,objaverse,wood,paper
007cbe3c10984a42a42eca2697d3a9e4,objaverse,glass,glass
007d72df3c5f40329c86cd913ffb72e7,objaverse,wood,wood
007e7e6af9724978b17366f07e17328c,objaverse,marble,ceramic
007e891d29fa489d844771013505e57b,objaverse,wood,fabric
007ecca151034c959e9435271eaab7c4,objaverse,wood,leather
007fde8e016846cd84d93732e94c65bd,objaverse,wood,fabric
008007540e8a436692ff509fcef8890f,objaverse,wood,ceramic
008132dc314848a8857e14b21252a25a,objaverse,metal,metal
00817f77d34846dcab3806bcecdf01b6,objaverse,wood,food
0081ffb3552a4dbda4b5aa4717ea0b14,objaverse,metal,metal
00820ef5fe4843cf8beef97281048215,objaverse,wood,wood
00821e6ad4534637934c36e9978ddbc6,objaverse,metal,plastic
00824460a36e4e6ea627c01b69f0aaf5,objaverse,very dry ground,ceramic
00829d6622d54510a17acad15ab6e7b4,objaverse,metal,plastic
008338fd63b8464c9ff9df543a709d3c,objaverse,wood,wood
008387db525d43f48c65a8705ead50d5,objaverse,wood,plastic
0083a96a5bf94d9188fe61d68473eb46,objaverse,metal,metal
0083fa5f10a442408e0f3f88df19c8ad,objaverse,wood,wood
008449ef75c9478d94fdd573ada2f59c,objaverse,wood,plastic
0084c819c4a44e45bcee1bfd6417b684,objaverse,wood,plastic
0084f2a137bd46b6829f136800b6270b,objaverse,wood,wood
00855bd3ed3f424fbb403fec6c61cba3,objaverse,concrete,metal
00865ce73b23426cb9b4f7afe0ad65c2,objaverse,wood,ceramic
00871ed4686d4839b291db034bd54383,objaverse,metal,metal
008736097103414da63d24482f2c1958,objaverse,very dry ground,ceramic
008798252f3c4fbe84e3b737aa191d81,objaverse,wood,plastic
0087dc01648d4cc792a7d1e49848b825,objaverse,wood,wood
0087e6abb96e4503b7975c19a1854733,objaverse,metal,plastic
0089429d1ed6415caeebb59b81708c17,objaverse,wood,wood
0089c9803159480fa6904a28d056f3fe,objaverse,wood,wood
008a0b9867c241a190eb5941f5b4dffb,objaverse,wood,fabric
008a288caa504703a2d853fb56a2569f,objaverse,chipboard,fabric
008b004ae2fb498e8a9195ece9ae9f02,objaverse,metal,metal
008b073c662345d4b7fbf44aa57538fc,objaverse,wood,plastic
008b1a42e49649329f92637f79e78580,objaverse,metal,metal
008b9fd8e24b4c719576305397489041,objaverse,wet ground,plastic
008be41361a44dfebe0d2003523e8f85,objaverse,metal,metal
008c481c69264db48919300acacf0bca,objaverse,wood,chipboard
008c5e7b77f74be99e41cfdf04fbde0d,objaverse,wood,fabric
008c73d08aab4a4b87f0045570edd45a,objaverse,wood,plastic
008d3031341a40a5ad08ed61fbe720d7,objaverse,wood,plastic
008e0a870bde49dba851d726a35341e6,objaverse,wood,wood
008e55563f6a43ebb22da74ee376bbb9,objaverse,wood,fabric
008e9eacb9044b11b358a0c2bdae1934,objaverse,wood,rubber
008f03f663b443f492dc7451856d2351,objaverse,very dry ground,paper
008f1ebb0a9c40e498f65d63cca68944,objaverse,metal,metal
008f28b256ce4380ab3cfee5638744a2,objaverse,metal,metal
008fda58985040279284e7498dd30c49,objaverse,chipboard,paper
00900a4e33df42e9bd3abfdb9e545866,objaverse,wet ground,food
00905dcdcd594d83849de0ee27570211,objaverse,metal,ceramic
0090bfa910964e348ab651d012d7e60c,objaverse,wood,plastic
009216945ff24a48afdbb7762f75184f,objaverse,wood,plastic
0092cdf4945a40f58cc97fea84f4ce8f,objaverse,wood,wood
0092e5ed17ad426aa50b81bb68a5dac0,objaverse,metal,metal
00931524d5d74718ab5b6b9348f6d669,objaverse,marble,marble
00934340c3064c05b47c4f22a1d27954,objaverse,wood,wood
009445d227f24792a00afaef8660167c,objaverse,wood,wood
00944cf00144496dad2e14b5e2efc852,objaverse,wood,plastic
0094a479f29643138bb870cca1e73c68,objaverse,wood,plastic
0095b401db2c49feb36117a8a400944d,objaverse,metal,metal
00962764566840499ee2f8ad0b66e073,objaverse,chipboard,chipboard
0096ad9a160243e7ae12662799fc7fc0,objaverse,very dry ground,ceramic
0096c90044a24a4ab0eb62670da2e4d8,objaverse,brick,ceramic
00971ef2de4a49cd8cfda982d21cd2e8,objaverse,brick,ceramic
00975382ac094ec9aff69ecd5593b54b,objaverse,metal,metal
009770285f144002b9a5f91e90780d5c,objaverse,metal,metal
00978a128283411582590096643ec101,objaverse,marble,ceramic
009795f69072466e9a71b70a560ed2df,objaverse,metal,metal
0097b28f6c044759a8625a9530d91abf,objaverse,marble,marble
0097d3f7d6844162b38c587d61933c4f,objaverse,wood,plastic
0098150095bb4b0f80a7dce8764ed392,objaverse,very dry ground,food
0098d04b1cfe413f816bf1ac5ec6d2a2,objaverse,wood,wood
0098f4db9e4e4afc96b2dcfd43e6d249,objaverse,wood,fabric
009a9c489bf44023af76b5933f2d1f1e,objaverse,wood,leather
009aca2992ad475bac5ce4fe0f928cfd,objaverse,wood,ceramic
009ace535b57459eb25cfc73e406f348,objaverse,wood,plastic
009b9c08b00541a08a026e20c7045c77,objaverse,metal,metal
009c26d016d642bab8945b86c083ec0d,objaverse,wood,wood
009c843270fe4fc0892cd59c70d93dad,objaverse,glass,ceramic
009de5b694dd4aac9c5a760d544046d1,objaverse,wood,wood
009e148784424c77a3a62c4145b8989f,objaverse,wood,wood
009ec7ce8e1341669a6aa4f3f82dff0f,objaverse,wood,plastic
009ed3da1c1e429d9565d130b349b46a,objaverse,wood,wood
009f79cecf964116af27af66abbb4aa1,objaverse,wood,plastic
009fdf73a9c54e7bbd3a7d28496752e0,objaverse,wood,fabric
009ff8df5abf455a9414856ce9f76e21,objaverse,wood,wood
00a0bec7eaab4977a2acdd3e3ecc4a14,objaverse,wood,fabric
00a14b69e71c42ac85da7e1c9f4b9237,objaverse,wood,plastic
00a2678cf83a4155b434a92ea60ab931,objaverse,wood,fabric
00a33b0d18804851838fd4bf28613465,objaverse,wood,wood
00a36286d354426ea79172fb1aa020af,objaverse,metal,plastic
00a39d27c30b4f81ae1f475d46b63c02,objaverse,wood,wood
00a4d2b0c4c240289ed456e87d8b9e02,objaverse,wood,plastic
00a579114e014325b04f144dc4fed95b,objaverse,metal,metal
00a57bbd1c894a7cb9e45ec396a8f660,objaverse,wood,wood
00a59dba4dc3432a97faa83e06adb644,objaverse,wood,plastic
00a6305f29e64a5985cfa3529c7a8f9c,objaverse,very dry ground,ceramic
00a706c3bde9415d9425291df671edd0,objaverse,metal,metal
00a70d81300e46d59bc8ec3ba4f1d1a8,objaverse,metal,plastic
00a743e386d648519c6d916d1c7f4543,objaverse,wood,plastic
00a7bc25399f42b0b204bc214e61fb05,objaverse,glass,glass
00a80ab64403420eb629044965b386c0,objaverse,wood,wood
00a815d5b1db4d67b358002a1798e4f5,objaverse,metal,metal
00a830f0bb914c8780ac70cd9400d9a4,objaverse,metal,metal
00a8bb1a9369437797545132faaea93c,objaverse,wood,metal
00a8d07ef0ba432dafecd171be83f47b,objaverse,metal,metal
00a8ea899d404f62bd37ebde601f381b,objaverse,metal,metal
00a9925ae746466b91ce457c67bef43f,objaverse,wood,fabric
00aaae98f99c412aa4c0d6b0a9fd64bf,objaverse,wood,plastic
00aacefe3ffc4934981bb2d1e9b5a076,objaverse,wood,wood
00aae9c4b69b46468d4f7ccf4f5e8717,objaverse,marble,ceramic
00ab1b90e5fd453aa8706c18cbbdef1e,objaverse,metal,metal
00ab3f9872c34288a0046fe50770bb85,objaverse,metal,plastic
00abcdc0d6b445fb973ad829df16e98a,objaverse,brick,rubber
00ac0c1e6c0d402dbd6c92e71f23d7f8,objaverse,wood,wood
00ac64cd7a7949b486937cf0d264048b,objaverse,metal,metal
00ad7478cf0447f3b3494c00e7037177,objaverse,wood,rubber
00ad8d5493344aedacaeae5dc11dfaa2,objaverse,wood,wood
00ae30dc59af40098106a2606cb28b84,objaverse,metal,plastic
00aee5c828e24c85b4c738ca8df1b6a7,objaverse,metal,wood
00aef80ade1e42c7a019ce8c7bcaa44d,objaverse,wood,wood
00af3ad2b5e94ecb9dff7bf9d6dc3611,objaverse,metal,metal
00af67fc6ef94d16827442b1549be95f,objaverse,metal,metal
00b0cc8019654862885bd7c07d04bcfa,objaverse,wood,wood
00b1bfa1c2374b37888f558432ff0ca0,objaverse,metal,metal
00b218f484b943e9aefa84fae5065d5b,objaverse,wood,plastic
